,url,title,price_in_rp,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description,market_price_2025,market_price_2023,rent_price_per_year_2025,NOI,cap_rate,property_value_growth,NPV
1414,https://www.rumah123.com/properti/bekasi/hos39395729/,Rumah Hoek 4+1 Kamar Siap Huni Di Cluster Elysium Cikarang - Dibawah Harga Pasaran !!,3000000000.0,Cikarang,Bekasi,4.0,3.0,254.0,241.0,SHM,0.0,Bagus,2.0,"DIJUAL CEPAT !!

RUMAH HOOK SIAP HUNI
Cluster Elysium - Lippo Cikarang

LT : 12.9 × 20 (254 M²)
LB : 241 M²
Bangunan 2 Lantai
SHM
KT : 4 + 1
KM : 3 + 1
Air PAM
Listrik 5500 Watt
Furnished :
- Sofa
- Kulkas
- Tempat Tidur
- Meja Makan
Hadap Selatan
Carport 2 Mobil
Lebar Jalan 2 Mobil
Lokasi Sangat Strategis
(KN.C.S)

Harga Jual : 3 Miliar

Kathleen
RE/MAX HARVEST
0818 0854 2xxx",4.432496e+09,3.619389e+09,1.4304357e+08,1.001305e+08,3.3376832000000003,0.10664046,362365923.23649406
381,https://www.rumah123.com/properti/tangerang/hos18279897/,Rumah SHM Cantik Siap Huni 6 Menit ke Mall Paradise Walk Serpong Dibantu KPR J20920,970000000.0,BSD,Tangerang,2.0,2.0,60.0,55.0,SHM,2200.0,Bagus,2.0,"Paradise Serpong City Cluster Summerland
Setu, Tangerang Selatan, Banten

*Bisa Nego
*Menerima Cash
*Bisa Dibantu KPR
*Menyediakan full furniture (sesuai permintaan customer)

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 60
LB 55
2 Lantai
2 Kamar Tidur
2 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Selatan

Fasilitas Sekitar Hunian:
3 Menit ke SDN Babakan 01
10 Menit ke SDN Mulyasari
10 Menit ke SDN Setu
10 Menit ke SMAN 02 Tangerang Selatan
15 Menit ke SMPN 02 Gunung Sindur

6 Menit ke Mall Paradise Walk Serpong
15 Menit ke Mall Pamulang Square
20 Menit ke Pasar Pagi Pondok Benda
20 Menit ke Pasar Serpong
30 Menit ke Mall AEON BSD City

9 Menit ke RS Hermina Serpong
10 Menit ke UPT Puskesmas Setu Tangerang Selatan
10 Menit ke RSIA Vitalaya
15 Menit ke Puskesmas Gunung Sindur
15 Menit ke RS Buah Hati Pamulang

20 Menit ke Stasiun Serpong
25 Menit ke Gerbang Tol Pamulang
25 Menit ke Gerbang Tol Serpong 2
25 Menit ke Terminal BSD
25 Menit ke Halte Busway Ciputat
30 Menit ke Gerbang Tol Serpong 5

Hubungi kami untuk konsultasi dan survei rumah impianmu!",9.1868026e+08,8.684562e+08,5.6378212e+07,3.9464748e+07,4.068530721649485,0.02850926,-405162161.1730424
2883,https://www.rumah123.com/properti/jakarta-timur/hos39293203/,Rumah SHM LT 409 Siap KPR 10 Menit ke Cibubur Junction J28792,3100000000.0,Cibubur,Jakarta Timur,3.0,3.0,409.0,200.0,SHM,5500.0,Bagus,1.0,"Pondok Cibubur
Cimanggis - Kota Depok

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 409
LB 200
1 Lantai
3 Kamar Tidur
1 Kamar Pembantu
3 Kamar Mandi
Listrik 5500 VA
Sumber Air Tanah
Hadap Barat

Fasilitas Sekitar Hunian:
4 Menit ke SD N Cisalak 3
4 Menit ke SMA N 13 Depok
5 Menit ke SD Terpadu Tugu Ibu II
9 Menit ke SMP N 7 Depok
20 Menit ke Univ Pancasila


10 Menit ke Cisalak Market
10 Menit ke Supermaket Naga Istimewa 
10 Menit ke Superindo
10 Menit ke Cibubur Junction
10 Menit ke Grand Cimanggis Mall


6 Menit ke Puskesmas Cisalak
10 Menit ke UPTD Puskesmas Cimanggis
10 Menit ke RSIA Tumbuh Kembang
10 menit ke Klinik Pertiwi Medika
15 Menit ke Sentra Medika Hospital


10 Menit ke Gerbang Tol Cisalak 3
15 Menit ke Gerbang Tol Margonda 2
20 Menit ke Stasiun Pondok Cina
25 menit ke Stasiun Pancasila
25 Menit ke Terminal Bus Depok

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",4.890919e+09,4.3767055e+09,1.7587211e+08,1.2311048e+08,3.971305806451613,0.05711341,-800470013.755394
4852,https://www.rumah123.com/properti/tangerang/hos39185609/,Dijual Rumah Baru Cluster Leonora 7 X 12 Sumarecon Gading Serpong,2650000000.0,Summarecon Serpong,Tangerang,4.0,4.0,84.0,144.0,Lainnya,0.0,Bagus,3.0,"Dijual Rumah Baru Cluster Leonora 7 x 12 Sumarecon Serpong ( belum pernah ditempati ) Hadap Timur..

LT : 7X12 (84 m²)
LB : 144 m²
3 Kamar Tidur + Attic Indoor Outdoor 
4 kamar mandi
CCTV 
Smart Door Key
Solart surya panel
Air PAM 
Taman
Carport

Hubungi :
https://wa.me/6287780493xxx
Tasya - GadingPro Alam Sutera

RM170",2.9488914e+09,2.4933862e+09,8.584411e+07,6.0090876e+07,2.2675802264150944,0.08751345,-180122626.504344
3914,https://www.rumah123.com/properti/tangerang/hos19593901/,Rumah The Green Cluster Vineyard Bsd City Tangerang,3400000000.0,BSD,Tangerang,3.0,2.0,144.0,200.0,SHM,0.0,Bagus,2.0,"*DIJUAL RUMAH CAKEP THE GREEN CLUSTER VINEYARD BSD*

Spesifikasi::
LT 144m2
LB ±200m2
KT 3
KM 2
2 Lantai
Sertifikat SHM 
Carport 2 Mobil
(DW)
Harga 3,4M NEGO",2.2015055e+09,2.638634e+09,1.070928e+08,7.496496e+07,2.2048517647058823,-0.086580396,-2738061920.8494034
3728,https://www.rumah123.com/properti/bekasi/hos38968436/,Rumah LT 105 Bebas Banjir 15 menit ke Green Walk Mall Bekasi J21489,940000000.0,Bekasi Kota,Bekasi,2.0,2.0,105.0,52.0,HGB,2200.0,Bagus,1.0,"Mutiara Gading Timur Cluster Sevilla
Mustikajaya - Kota Bekasi

*Menerima Cash
*Bisa Dibantu KPR

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.
 
SHGB
LT 105
LB 52
1 Lantai
2 Kamar Tidur
2 Kamar Mandi
Listrik 2200 VA
Sumber Air Tanah
Hadap Barat Laut

Fasilitas Sekitar Hunian:
5 menit ke SDN Mustikajaya VII
7 menit ke SDN Mustikajaya III
8 menit ke SDN Mustika Jaya V
9 menit ke SDN Mustikajaya IV
10 menit ke SDN Mustikajaya II
10 menit ke SMPN 26 Kota Bekasi

5 menit ke SMAN 9 Bekasi
15 menit ke SMA Mandalahayu

4 menit ke Pasar Mutiara Gading Timur
8 menit ke Pasar Modern Grand Wisata
10 menit ke Pasar Pondok Timur
15 menit ke Green Walk Mall

4 menit ke Rumah Sakit Permata Bekasi
5 menit ke Puskesmas Mustika Jaya
5 menit ke Puskesmas Lambang Sari
9 menit ke Rumah Sakit Puspa Husada
9 menit ke Rumah Sakit Hermina Grand Wisata
10 menit ke Puskesmas Jatimulya
10 menit ke RS Ananda Tambun Selatan

10 menit ke Terminal Bekasi
15 menit ke Tol Bekasi Timur 1
15 menit ke Tol Bekasi Timur 2
15 menit ke Gerbang Tol Cibitung 7
15 menit ke Gerbang Tol Cibitung 8
15 menit ke Stasiun Jati Mulya
15 menit ke Stasiun Tambun
20 menit ke Stasiun Bekasi Timur

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",7.03021e+08,9.5198957e+08,4.5270068e+07,3.1689048e+07,3.371175319148936,-0.14065403,-804622594.7529501
6543,https://www.rumah123.com/properti/jakarta-timur/hos39435140/,Rumah Siap Huni Modern Minimalist Jalan 2 Mobil Akses Mudah,2700000000.0,Otista,Jakarta Timur,4.0,5.0,100.0,175.0,SHM,0.0,Bagus,2.0,"FOR SALE !! OTISTA
HANYA 3 UNIT
HOT DEAL !! 

Rumah Brand New siap huni
Akses 2 mobil 
Dekat Halim, Cawang dan Kp Melayu
Aman, nyaman dan tenang
Bebas banjir

Spesifikasi :

- Luas Tanah 100 m2 ( L 5 X 20 P) 
- Luas Bangunan 175 m2
- Lantai 2
- Kamar Tidur 3+1 ( 2 KM dalam ) 
- Kamar Mandi 4+1
- Jetpump
- Listrik 2.200 watt
- Hadap Utara
- Carport 1+ ( plus ) 
- SHM, PBG, PBB

Note :
* Bonus AC 2 dan Kitchen Set

Harga 2.7 miliar ( nego ) 

Please call :
Irwan
0878 78 499 666",3.3633746e+09,2.286498e+09,8.628569e+07,6.039998e+07,2.2370362962962966,0.21283627,4575325433.016608
6096,https://www.rumah123.com/properti/jakarta-utara/hos39351967/,Rumah Furnish Golf Island Luas 120m2 Harga Nego,4600000000.0,Golf Island,Jakarta Utara,3.0,3.0,120.0,150.0,HGB,0.0,Bagus,2.0,"Dijual
Rumah golf island
Uk 8x15, shm
2 lantai, hadap timur laut
kondisi masih tersewa sampai Febuari 2027 jika terjual refund sisa sewa berjalan

Willy KOK
082199219xxx
087788297xxx",4.8388086e+09,4.818446e+09,1.5056888e+08,1.05398216e+08,2.291265565217391,0.0021107197,-2603174070.306278
4685,https://www.rumah123.com/properti/jakarta-barat/hos38881043/,"Muraaah Rumah Cengkareng Indah 2,5 Lantai",1590000000.0,Cengkareng,Jakarta Barat,2.0,2.0,80.0,135.0,SHM,0.0,Bagus,3.0,"Cengkareng Indah
ukuran 5X16
2,5 lantai
2 kamar tidur
1 kamar mandi",1.8668047e+09,2.185015e+09,7.871295e+07,5.5099064e+07,3.465349937106918,-0.075680256,-1213950672.840318
5921,https://www.rumah123.com/properti/jakarta-timur/hos19585281/,Rumah Bu Murah 2 Lantai Komplek Billymoon,1900000000.0,Pondok Kelapa,Jakarta Timur,4.0,3.0,98.0,150.0,SHM,0.0,Bagus,2.0,"Jual Cepat Owner (BU) Sekali Rumah Murah  2 Lantai Lokasi Strategis Nyaman Asri Tenang. Di Dalam  Komplek Billymoon Pdk Kelapa Jakarta Timur. eko

Spesifikasi Rumah :

Bangunan Thn 2018

• Luas Tanah : 98 m2
• Lebar x Panjang : 6 x 18 m2
• Luas Bangunan : 150 m2
• Kamar Tidur : 3+1
• Kamar Mandi : 2+1

• Listrik : 2200 Watt
• Hadap : selatan
• Sumber Air : Jetpump
• Carport : 2 Mobil
• Legalitas : SHM, PBB, IMB 
• Furnished : Kitchen set
• Bangunan 2 Lantai
. Akses Jalan 2 mobil 

Selling Point :
• Lingkungan perumahan elite
. Lokasi aman asri tenang
. Bebas Banjir
. Dekat angkutan umum
. Dekat Sekolahan
. Dekat Pasar
. Dekat Rumah sakit

Harga : 1.9 Milyar Nego

Pembayaran cash atau proses KPR Bank

*Masjid Al Muhajirin Pdk Kelapa Indah",2.3204063e+09,2.1902474e+09,7.552402e+07,5.2866812e+07,2.782463789473684,0.029284477,-829292437.9685102
2366,https://www.rumah123.com/properti/bekasi/hos39293270/,Rumah LT 106 Bebas Banjir 10 menit ke Grand Galaxy Park Siap KPR J-19173,830000000.0,Galaxy,Bekasi,2.0,1.0,106.0,54.0,SHM,1300.0,Bagus,1.0,"Perum Pondok Cikunir Indah
Bekasi Selatan - Kota Bekasi

Rumah siap huni lokasi strategis, dekat dengan fasilitas pendidikan, kesehatan, pusat perbelanjaan, dan akses transportasi.

SHM
LT 106
LB 54
1 Lantai
2 Kamar Tidur
1 Kamar Mandi
Listrik 1300 VA
Sumber Air Tanah

Fasilitas Sekitar Hunian:
7 menit ke SMA 17 Bekasi Selatan
9 menit ke SMA Panglima Soedirman
10 menit ke SD Rhema Indonesia
15 menit ke SD Strada Bhakti Wiyata II Kranji
15 menit ke SMP Islam al-Azhar 6
15 menit ke SMP Negeri 22 Kota Bekasi

9 menit ke Pasar Cikunir
9 menit ke Pasar Tradisional Pulo Galaxy
10 menit ke Pasar Pagi Pekayon
10 menit ke Grand Galaxy Park
15 menit ke Lagoon Avenue Mall Bekasi
15 menit ke Mall Grand Metropolitan Bekasi

1 menit ke UPTD Puskesmas Jatiben
7 menit ke Rumah Sakit Cikuniring
10 menit ke Puskesmas Pekayon Jaya
10 menit ke UPTD Puskesmas Jaka Mulya
15 menit ke Rumah Sakit Hermina Galaxy

6 menit ke Gerbang Tol Pondok Gede Timur 2
7 menit ke Gerbang Tol Jakasampurna
9 menit ke Terminal Sumber Artha
10 menit ke Gerbang Tol Kalimalang 2
15 menit ke Gerbang Tol Cikunir 3
20 menit ke Stasiun Bekasi Barat
20 menit ke Stasiun Klender Baru

hubungi sekarang juga untuk konsultasi dan survey rumahnya (Silahkan tulis no.telp pada pesan untuk kami hubungi lebih lanjut)",7.583382e+08,7.1952384e+08,3.670777e+07,2.5695438e+07,3.095835903614458,0.026618004,-368627028.8152521
3849,https://www.rumah123.com/properti/jakarta-utara/hos19503457/,"Rumah Pluit Barat 2,5lantai Bagus",10000000000.0,Pluit,Jakarta Utara,5.0,5.0,325.0,650.0,SHM,0.0,Bagus,2.0,"*Wts -Turun harga*
Rumah Pluit
13x25
2.5 lantai
KT 5+1
Km 5+1
Garasi 2 carport 2
Shm
Akses jalan 3 mobil

10 M nego
#5355u",1.0389546e+10,5.708953e+09,3.1993904e+08,2.2395733e+08,2.2395732799999997,0.34902513,67355742814.50833
4478,https://www.rumah123.com/properti/jakarta-timur/hos39316027/,Rumah Paling Murah Hitung Tanah di Pulo Asem Rawamangun,2250000000.0,Rawamangun,Jakarta Timur,3.0,2.0,135.0,110.0,SHM,0.0,Renovasi Total,2.0,"Dijual segera :

Kondisi rumah lama hitung tanah aja
L. Tanah 135
Lebar 9
Panjang 15
Surat SHM
Akses jalan 2 mobil
Lokasi sangat strategis
Lingkungan Komplek rapih
Security 24 jam
One gate system
Aman, nyaman dan bebas banjir

Info lanjut hub
Dodo Sugra
081213193xxx
08568161xxx",2.3946941e+09,2.2596872e+09,9.683281e+07,6.778297e+07,3.012576355555556,0.029439569,-971196975.7770624
4462,https://www.rumah123.com/properti/bekasi/hos38889414/,Dijual Rumah Di Aren Jaya Perumnas 3 Bekasi Timur,600000000.0,Bekasi Timur,Bekasi,2.0,1.0,90.0,90.0,SHM,2200.0,Bagus,1.0,"Dekat sekolah , tempat ibadah, pusat kesehatan, pomp bensin, kuliner
#arco-25arc089",8.573632e+08,1.0476461e+09,4.2492268e+07,2.9744588e+07,4.957431333333333,-0.09536135,-462726383.8139716
217,https://www.rumah123.com/properti/jakarta-selatan/hos39162424/,Dijual Rumah Utama Hoek dengan Kost & Kontrakan di Setiabudi Menteng Atas,5800000000.0,Setiabudi,Jakarta Selatan,9.0,8.0,192.0,250.0,SHM,9500.0,Bagus,2.0,"Dijual Rumah Utama Hoek dengan Kost & Kontrakan di Setiabudi Menteng Atas Dekat Rasuna Said Casablanca area Segitiga Emas dikelilingi Perkantoran, Apartemen, Mall, RS, Sekolah

Luas tanah : 192m²
Luas bangunan : 250m²
Kamar Tidur : 9 
Kamar mandi : 8
Jumlah lantai : 2
Sertifikat : SHM 
Air : PAM & Jetpump
Bonus : AC & Water Heater

1 rumah terdiri dari :
1. Rumah utama
2. Kontrakan 4 unit aktif terisi disewakan tahunan 30-35juta per tahun
3. Kos-kosn 3 unit aktif terisi 2-2,5juta per bulan

Listrik : 
1. Lantai atas 1.300 watt
2. Kos-kosan atas 900 watt 2 unit
3. Kontrakan samping 1.300 watt 3 unit
4. Kontrakan samping lainnya 2.200 watt 1 unit

Pendapatan:
- Kontrakan 4unit x Rp 35jt/pintu/tahun = Rp 140jt/tahun

- Kost-kostan 3unit x 2,5jt = Rp 7,5jt/bulan
 = 7,5jt x 12bulan = Rp 90jt/thn

Harga jual : 5,8M(nego)
#LSGX

Info & survey
Jeffry
Asia One Galaxy",6.085535e+09,3.4619023e+09,1.9999138e+08,1.3999397e+08,2.413689103448276,0.32584262,31980094678.793106
