url,title,rent_price_per_year,district,city,bedrooms,bathrooms,land_size_m2,building_size_m2,certificate,electricity_power,property_condition,floor_count,description
https://www.rumah123.com/properti/jakarta-barat/hor39420113/,Disewakan Rumah Full Bangunan 3lt Murahhh,120000000.0,Green Lake City,Jakarta Barat,3.0,3.0,200.0,239.0,SHM,0.0,Bagus,3.0,"Deskripsi
Green Lake City merupakan kawasan hunian terpadu persembahan salah satu pengembang terbesar di Indonesia, Agung Sedayu Group. Perumahan di Tangerang ini berupa proyek mixed-use dimana kawasan hunian dipadukan dengan fasilitas penunjang seperti area komersial yang terintegrasi di dalam kawasannya. Konsep kawasan hunian mixed-use seperti ini mempermudah Anda untuk menjangkau fasilitas komersial untuk memenuhi kebutuhan. Bagi Anda yang sedang mencari ruko untuk berbisnis, kawasan terpadu seperti ini juga sama-sama menguntungkan, karena memiliki pasar yang jelas, yakni warga di kawasan hunian tersebut.
 
Green Lake City berlokasi di kawasan barat Jakarta yang tumbuh dengan pesat, memberikan lokasi yang strategis untuk hunian maupun tempat usaha. Rancangan utama Green Lake City memanfaatkan pengelolaan air yang ada untuk menciptakan sebuah laguna cantik di pusat kawasannya. Laguna perumahan Jakarta Barat ini terhubung pula ke komunitas dan kawasan di sekitarnya, menyajikan kawasan hiburan dan rekreasi dengan konsep segar waterfront. Laguna Green Lake City merupakan area ritel dan kawasan komersial yang berpadu dengan pas dengan kawasan residensial."
https://www.rumah123.com/properti/jakarta-barat/hor39359810/,Cengkareng Indah Bebas Banjir Dan Rapih.,45000000.0,Cengkareng,Jakarta Barat,2.0,1.0,90.0,90.0,SHM,0.0,Bagus,1.0,"Cengkareng Indah
6x15
1 lantai
2 kamar tidur
bebas banjir"
https://www.rumah123.com/properti/jakarta-selatan/hor18778685/,Bintaro Permai Lt 980 M2 Cocok Untuk Bisnis Jalan Besar,335000000.0,Bintaro,Jakarta Selatan,5.0,2.0,980.0,415.0,SHM,6600.0,Bagus,1.0,"Spesifikasi 
Luas tanah 980 m2 
Luas bangunan 415 m2
5 ruangan besar 
Lobby, meeting room, taman besar 
Parkir 10 mobil 

Harga : Rp 365 juta / tahun (Nego)"
https://www.rumah123.com/properti/jakarta-timur/hor19252565/,Rumah Full Furnished Cluster Metland Menteng Sewa Cepat Nego Sampai Jadi,110000000.0,Metland Menteng,Jakarta Timur,4.0,3.0,300.0,180.0,SHM,5500.0,Bagus,1.0,"Sewa


Cluster Teresta, Metland Menteng Hook 
Full furnished dengan perabot
Luas tanah : 300m2
Luas bangunan : 180m2
Kamar tidur : 4+1
Kamar mandi : 3
Listrik : 5500W
Hadap : barat & utara
Harga : 110jt/thn 
*MI"
https://www.rumah123.com/properti/jakarta-selatan/hor39255445/,"Rumah TB Simatupang, Jakarta Selatan Kontrakan Furnished Bagus",70000000.0,TB Simatupang,Jakarta Selatan,2.0,2.0,60.0,71.0,SHM,0.0,Bagus,2.0,"Disewakan rumah di Cluster 67 Kebagusan (Jalan Kebagusan Raya- Dekat TB Simatupang)

- Di dalam cluster, one gate system, security, cctv
- Lokasi strategis dekat CBD Simatupang
- Luas tanah 60m2, luas bangunan 
- 2 Kamar Tidur dan 2 Kamar Mandi, Ruang Keluarga dan Dapur
- Full furnished 
- Listrik 2200watt
- Sewa per tahun 70juta + deposit 10juta
- Ada IPL per bulan 660ribu (untuk keamanan dan kebersihan lingkungan)

* Deposit akan dikembalikan di akhir masa sewa jika tidak terdapat kerusakan"
https://www.rumah123.com/properti/jakarta-selatan/hor39232771/,Rumah.komplek Jatipadang Pejaten 4 Kmr 95jt/thn,95000000.0,Pasar Minggu,Jakarta Selatan,4.0,2.0,100.0,140.0,SHM,0.0,Bagus,2.0,"DI SEWAKAN Rumah komplek sangat nyaman dan aman jalan lebar 3 mobil.
lokasi di jatipadang pejaten jaksel.

4 kamar tidur : 2 di lantai bawah, 2 di lantai atas.

2 Kamar mandi : 1 di lantai bawah, 1 di lantai atas.
1 Ruang tamu
1 Ruang keluarga
1 Ruang dapur.
1 Ruang cuci.
1 Ruang kosong terbuka di lantai atas.
1 AC ada di ruang tamu.
Listrik 3500 watt
Air tanah pompa. 
Luas 100 m2 ( 5m  x 20 m), dua lantai.
carport 1-2 mbl
Harga sewa 95 juta / tahun."
https://www.rumah123.com/properti/jakarta-selatan/hor39283580/,"Townhouse Darmawangsa Kebayoran Baru, One Gate System, House Ready For Living With Modern Fully Furnished",450000000.0,Kebayoran Baru,Jakarta Selatan,5.0,3.0,350.0,350.0,HGB,0.0,Bagus,2.0,"Rumah 2 lantai di Kebayoran Baru, Jakarta Selatan.

Disewakan rumah di wilayah yang nyaman dengan pemandangan Lokasi di Pusat Kota. Properti 2 lantai ini berada di lingkungan strategis.

Rinciannya adalah sebagai berikut:

  - Kamar Tidur: 5
  - Kamar Mandi: 3
  - Sertifikat: HGB - Hak Guna Bangunan
  - Kondisi Perabotan: Furnished

Tidak hanya itu, properti ini layak untuk anda dapatkan karena:

  - Full Furnished.
  - Siap Huni.
  - Bebas Banjir.
  - Dekat Pusat Perbelanjaan.
  - Dekat Sekolah Internasional.
  - Lokasi di Pusat Kota.
  - Lingkungan Tenang dan Damai.
  - Adem & Sejuk.
  - Lokasi Strategis.
  - Lokasi Bebas Banjir.
  - One Gate System.

Lokasi rumah ini strategis, hanya selangkah menuju berbagai fasilitas utama dan menarik.

Hanya Rp. 37.500.000, anda dapat langsung dapatkan rumah istimewa di daerah Kebayoran Baru ini.

Tersedia juga untuk rental period Yearly."
https://www.rumah123.com/properti/jakarta-selatan/hor39231965/,Disewakan Rumah Pondok Indah,450000000.0,Pondok Indah,Jakarta Selatan,5.0,5.0,521.0,450.0,SHM,0.0,Bagus,2.0,"For Rent rumah pondok indah 
Jalan lebar lokasi tenang

Luas Tanah  : 521 M2
Luas Bangunan : 450 M2
Electricity : 13,500 KVA
Land Certificate : SHM
Rooms: Living
Dining
Family
Kitchen
Service Kitchen
5 Bedrooms
Media Room
4 -1/2 Bathrooms
Pool
Hadap selatan 
Garage = 2 Cars
Carport = 2 Cars

Harga 450jt"
https://www.rumah123.com/properti/jakarta-timur/hor19446291/,"Disewakan Rumah 1 Lantai, Rapi Bersih Luas Dan Nyaman Di Pulomas",210000000.0,Pulomas,Jakarta Timur,4.0,3.0,522.0,288.0,SHM,0.0,Bagus,1.0,"Disewakan rumah di Pulomas

Lt 522m²
lb 288m²
kt 3+1
km 2+1
garasi 2mobil
carport 2
4.400watt
210jt/thn"
https://www.rumah123.com/properti/jakarta-utara/hor39047799/,Sewa Rumah 12x25 Cluster Serenade Golf Island PIK,525000000.0,Golf Island,Jakarta Utara,4.0,4.0,300.0,900.0,Lainnya,0.0,Bagus,2.0,"Disewakan

Rumah Cluster serenade , Golf Island PIK
Type mahogany 
Uk. 12x25 (LT : 300 m2) 
LB : 900 m2
KT : 4+1
KM : 4+1
Carport 4
Hadap Tenggara
( semi furnish ) 
Harga sewa 525 jt minimal sewa 2thn
Deposit 150jt

Welly Sanjaya
081286429xxx
Avenue Property"
